item_id,order_id,product_name,category,quantity,price_per_unit
1,2230,Smartwatch,Electronics,2,13140.71
2,1144,AirPods,Electronics,3,11314.54
3,4025,Mic,Electronics,3,14145.86
4,3095,VR Headset,Electronics,2,14698.85
5,4826,Mobile,Electronics,3,27255.98
6,1075,Speaker,Electronics,3,57304.01
7,1899,AirPods,Electronics,3,23120.15
8,2982,Charger,Electronics,2,48940.25
9,1765,Mic,Electronics,3,28383.86
10,4318,Speaker,Electronics,3,59746.73
11,294,Backpack,Electronics,1,4872.02
12,880,VR Headset,Electronics,3,2892.18
13,2140,Smartwatch,Electronics,1,28293.38
14,2085,Monitor,Electronics,1,10647.82
15,3358,Laptop,Electronics,2,16405.48
16,1615,Mobile,Electronics,1,8692.23
17,2355,Speaker,Electronics,2,36122.9
18,2705,Mouse,Electronics,3,7403.93
19,4905,Backpack,Electronics,2,14737.28
20,1103,Keyboard,Electronics,3,51427.86
21,1683,Laptop,Electronics,3,57258.66
22,104,Speaker,Electronics,1,21757.97
23,1444,Mic,Electronics,2,22153.07
24,1537,Backpack,Electronics,2,34427.26
25,4039,Mobile,Electronics,3,4418.33
26,3878,Monitor,Electronics,3,49606.83
27,2201,Speaker,Electronics,2,33876.16
28,3818,Keyboard,Electronics,3,37961.84
29,2787,Mic,Electronics,2,8428.39
30,2173,Hard Disk,Electronics,1,21060.21
31,1471,Charger,Electronics,2,46256.47
32,4032,Monitor,Electronics,1,43333.55
33,4375,Mobile,Electronics,3,53272.16
34,440,Keyboard,Electronics,3,40079.09
35,3032,Tablet,Electronics,1,51562.38
36,1742,Backpack,Electronics,1,19241.95
37,1346,Monitor,Electronics,2,34051.5
38,4168,Speaker,Electronics,1,13684.16
39,4213,Keyboard,Electronics,2,45002.02
40,2333,Charger,Electronics,2,45568.44
41,1959,Headphones,Electronics,3,44097.41
42,1494,Monitor,Electronics,1,38621.68
43,2610,TV,Electronics,1,37987.23
44,1680,Headphones,Electronics,2,52089.51
45,1542,Mic,Electronics,2,33966.7
46,2880,AirPods,Electronics,2,25496.77
47,1883,Backpack,Electronics,3,27015.37
48,563,Smartwatch,Electronics,1,44924.82
49,3707,Mic,Electronics,3,49487.7
50,262,Keyboard,Electronics,1,22938.0
51,3860,Charger,Electronics,1,47635.68
52,2621,Laptop,Electronics,1,18051.68
53,2185,Backpack,Electronics,2,23233.32
54,2113,Speaker,Electronics,2,59817.68
55,511,SSD,Electronics,2,10980.5
56,1962,Speaker,Electronics,2,26232.68
57,2311,Router,Electronics,1,13049.59
58,4348,Speaker,Electronics,3,51845.55
59,2010,TV,Electronics,3,11660.82
60,3985,Keyboard,Electronics,1,13189.75
61,1904,Mobile,Electronics,2,59076.82
62,529,Speaker,Electronics,3,23877.06
63,4870,Charger,Electronics,3,30399.47
64,1548,Mic,Electronics,2,34512.89
65,1581,Tablet,Electronics,3,51548.16
66,929,TV,Electronics,3,47250.97
67,121,AirPods,Electronics,3,10335.69
68,2791,AirPods,Electronics,1,21949.24
69,4348,Keyboard,Electronics,3,52333.27
70,143,Monitor,Electronics,1,55479.02
71,1685,Tablet,Electronics,2,15073.48
72,499,Keyboard,Electronics,3,7670.27
73,1502,Power Bank,Electronics,3,36860.74
74,2212,Mobile,Electronics,2,21771.56
75,4403,Keyboard,Electronics,2,29623.82
76,3153,Headphones,Electronics,2,10275.16
77,1170,Mic,Electronics,1,55895.24
78,4735,SSD,Electronics,1,45999.65
79,3748,Monitor,Electronics,2,25366.06
80,1468,Keyboard,Electronics,1,11208.11
81,4283,AirPods,Electronics,1,22617.59
82,3676,Tablet,Electronics,1,7690.92
83,4036,Mic,Electronics,1,20001.43
84,2447,Router,Electronics,1,36370.48
85,4832,VR Headset,Electronics,2,7448.67
86,1519,Camera,Electronics,3,663.77
87,156,Monitor,Electronics,2,42575.32
88,920,AirPods,Electronics,3,43763.57
89,2114,Camera,Electronics,2,35581.46
90,822,Headphones,Electronics,1,21828.55
91,1643,Backpack,Electronics,1,59829.3
92,2859,VR Headset,Electronics,1,16462.31
93,3808,Smartwatch,Electronics,2,23631.86
94,4964,Mouse,Electronics,2,38807.9
95,4859,Mobile,Electronics,2,13499.88
96,4406,Mic,Electronics,3,49693.98
97,3198,Monitor,Electronics,1,26371.32
98,345,Mobile,Electronics,3,3695.15
99,4231,Hard Disk,Electronics,1,18296.3
