order_id,customer_id,order_date,order_status,payment_method
1,1618,2024-01-01,Cancelled,Debit Card
2,639,2023-05-30,Cancelled,UPI
3,518,2023-01-22,Delivered,Net Banking
4,409,2025-04-30,Cancelled,Wallet
5,291,2024-09-03,Delivered,Net Banking
6,943,2025-08-04,Delivered,Wallet
7,1576,2024-12-04,Delivered,Debit Card
8,297,2023-10-22,Delivered,UPI
9,730,2025-11-15,Shipped,Debit Card
10,1406,2025-10-19,Returned,UPI
11,1555,2023-08-02,Delivered,Credit Card
12,624,2024-01-02,Returned,Wallet
13,1041,2021-10-04,Returned,Debit Card
14,1584,2025-10-02,Cancelled,Wallet
15,89,2025-06-10,Cancelled,Credit Card
16,108,2025-10-13,Cancelled,Debit Card
17,1230,2023-01-21,Cancelled,Wallet
18,66,2024-08-12,Delivered,Credit Card
19,1823,2023-11-08,Cancelled,Wallet
20,677,2021-11-17,Cancelled,Net Banking
21,1268,2025-10-25,Delivered,UPI
22,1992,2024-11-20,Shipped,Net Banking
23,355,2025-09-18,Returned,Net Banking
24,1018,2023-05-18,Returned,Credit Card
25,1846,2025-11-20,Returned,Net Banking
26,287,2025-11-20,Cancelled,Credit Card
27,1350,2023-10-14,Cancelled,Credit Card
28,241,2025-09-29,Delivered,UPI
29,928,2025-09-29,Delivered,Net Banking
30,637,2025-07-04,Cancelled,Wallet
31,1523,2023-04-20,Shipped,Wallet
32,524,2025-07-24,Returned,Credit Card
33,564,2025-03-28,Shipped,Credit Card
34,1389,2025-10-28,Delivered,UPI
35,363,2025-02-21,Returned,Net Banking
36,344,2025-04-30,Shipped,Debit Card
37,1589,2025-01-11,Shipped,Net Banking
38,611,2025-11-03,Shipped,Debit Card
39,411,2025-06-29,Cancelled,UPI
40,1160,2021-06-05,Returned,Credit Card
41,596,2024-08-14,Delivered,Net Banking
42,1741,2025-06-12,Returned,Net Banking
43,1506,2025-10-09,Shipped,UPI
44,688,2023-06-12,Returned,Wallet
45,1328,2024-06-19,Delivered,Net Banking
46,1848,2025-09-14,Shipped,Net Banking
47,1863,2024-08-11,Cancelled,UPI
48,377,2025-07-27,Delivered,Wallet
49,1928,2024-12-06,Delivered,Wallet
50,250,2024-01-12,Shipped,Net Banking
51,766,2025-08-17,Returned,Debit Card
52,1972,2022-05-09,Cancelled,Credit Card
53,928,2025-11-10,Shipped,Net Banking
54,1220,2025-10-03,Returned,Wallet
55,1951,2024-12-16,Delivered,Debit Card
56,652,2024-06-10,Returned,Debit Card
57,1354,2025-10-26,Returned,Wallet
58,858,2023-10-19,Shipped,Wallet
59,173,2024-12-25,Cancelled,UPI
60,1879,2025-02-15,Shipped,Wallet
61,1428,2024-11-27,Cancelled,Wallet
62,880,2023-10-23,Returned,Credit Card
63,819,2022-06-19,Shipped,Debit Card
64,545,2024-02-04,Cancelled,Debit Card
65,1635,2023-12-04,Delivered,Credit Card
66,827,2022-08-02,Shipped,Net Banking
67,664,2025-03-11,Cancelled,Net Banking
68,1765,2025-01-10,Shipped,Net Banking
